Country,Reference,Reference URL
Australia,"Ingles, David. Statistics on the Distribution of Income and Wealth in Australia. Research and Statistics Branch, Development Division. Department of Social Security, 1981.",
Australia,"Katic, Pamela, and Andrew Leigh. “Top Wealth Shares in Australia 1915-2012.” Review of Income and Wealth, vol. 62, no. 2, 2015, pp. 209–222., https://doi.org/10.1111/roiw.12177. ",https://onlinelibrary.wiley.com/doi/full/10.1111/roiw.12177?casa_token=3M4TeVu_58IAAAAA%3AIvfx5mFPbIcwGjGribSoDyK7v9o2w9GXKLObZRstcStBiTmZj2eHQJD8fg81NgCKoPaXOhNjl9g5zKA
Australia,"Matthew, Fisher-Post. “‘Simplified DINA for Australia, Canada and New Zealand.’” WID.world, 2020, http://wordpress.wid.world/document/simplified-dina-for-australia-canada-and-new-zealand-world-inequality-lab-technical-note-2020-10/. ",http://wordpress.wid.world/document/simplified-dina-for-australia-canada-and-new-zealand-world-inequality-lab-technical-note-2020-10/
Australia,"Saunders, Peter. “Longer Run Changes in the Distribution of Income in Australia.” Economic Record, vol. 69, no. 4, 1993, pp. 353–366., https://doi.org/10.1111/j.1475-4932.1993.tb02117.x. ",https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1475-4932.1993.tb02117.x
Australia,"Wilkins, Roger. “Evaluating the Evidence on Income Inequality in Australia in the 2000s.” Economic Record, vol. 90, no. 288, 2014, pp. 63–89., https://doi.org/10.1111/1475-4932.12090.",https://onlinelibrary.wiley.com/doi/full/10.1111/1475-4932.12090?casa_token=lXdI0OmcGz8AAAAA%3AlZuGzd-EzHFdKM1WEtAaHj0u4mKMNK6o1Ctbb4qklF-MIpKfGcfxPSxZJAa5OwnFRUt9DwHbMk2PFvQ
Australia,"Wilkins, Roger. “Measuring Income Inequality in Australia.” Australian Economic Review, vol. 48, no. 1, 2015, pp. 93–102., https://doi.org/10.1111/1467-8462.12098.",https://onlinelibrary.wiley.com/doi/full/10.1111/1467-8462.12098?casa_token=whGsPZx1ARIAAAAA%3AV4n_gtE2cLiW7zyjhzVKBUuKxf2Ch_1Ou4-e9j-oohAj4cZv6MtLVeUjXob98kFgbp7z649PRcJLNss
Brazil,"De Rosa, Mauricio, et al. “2021 DINA Regional Update for Latin America.” WID.world, 2021, http://wordpress.wid.world/document/2021-dina-regional-update-for-latin-america-world-inequality-lab-technical-note-2021-7/. ",http://wordpress.wid.world/document/2021-dina-regional-update-for-latin-america-world-inequality-lab-technical-note-2021-7/
Brazil,"Fishlow, Albert. “Brazilian Size Distribution of Income.” The American Economic Review 62.1/2 (1972), vol. 62, no. 1/2, 1972, pp. 391–402.",https://www.jstor.org/stable/1821573?casa_token=RRThSAoz87wAAAAA%3AxqKpKhQPTQhJaGw33dQr_tq6K2dCkunq_PuX08mEklkzKsQaw080u6ZEwt9aCqBJjBCkGLdDkq2OeWdi1CRIUM_bG0MlPmJlizSKtCgHVuW_nEjqBVo
Brazil,"Gasparini, Leonardo, et al. “Recent Trends in Income Inequality in Latin America.” Economía, vol. 11, no. 2, 2011, pp. 147–190., https://doi.org/10.1353/eco.2011.0002.",https://muse.jhu.edu/article/430783
Brazil,"Langoni, Carlos Geraldo. ""Distribuição de Renda e Desenvolvimento Econômico do Brasil?"" Expressão e Cultura, Rio de Janeiro, 1978.",https://epge.fgv.br/conferencias/educacao-basica-no-brasil-2017/files/carlos-langoni-1972.pdf
Brazil,"Langoni, Carlos Geraldo. ""Income distribution and economic development: The Brazilian case."" World Econometric Society Congress, Toronto, 1973.",
Brazil,"Langoni, Carlos Geraldo. “Review of income data: Brazil”, Research Program in Economic Development Discussion Paper 60, 1975.",
Brazil,"Morgan, Marc. “Falling Inequality beneath Extreme and Persistent Concentration: New Evidence for Brazil Combining National Accounts, Surveys and Fiscal Data, 2001-2015.” WID.world, 2017, https://wid.world/document/extreme-persistent-inequality-new-evidence-brazil-combining-national-accounts-surveys-fiscal-data-2001-2015-wid-world-working-paper-201712/. ",https://wid.world/document/extreme-persistent-inequality-new-evidence-brazil-combining-national-accounts-surveys-fiscal-data-2001-2015-wid-world-working-paper-201712/
Brazil,"Neri, Marcelo. “The Decade of Falling Income Inequality and Formal Employment Generation in Brazil.” Tackling Inequalities in Brazil, China, India and South Africa, 2010, pp. 57–107., https://doi.org/10.1787/9789264088368-4-en. ",https://www.oecd-ilibrary.org/social-issues-migration-health/tackling-inequalities-in-brazil-china-india-and-south-africa-2010_9789264088368-en
Canada,"Atkinson, Anthony B. “Canada.” The Changing Distribution of Earnings in OECD Countries, Oxford University Press, Oxford, 2008.",https://oxford.universitypressscholarship.com/view/10.1093/acprof:oso/9780199532438.001.0001/acprof-9780199532438
Canada,"Davies, James, and Livio Di Matteo. “Long Run Canadian Wealth Inequality in International Context.” Review of Income and Wealth, vol. 67, no. 1, 2021, pp. 134–164., https://doi.org/10.1111/roiw.12453. ",https://onlinelibrary.wiley.com/doi/epdf/10.1111/roiw.12453
Canada,"Love, Roger. Income Distribution and Inequality in Canada. Statistics Canada, 1979.",
Canada,"Matthew, Fisher-Post. “‘Simplified DINA for Australia, Canada and New Zealand.’” WID.world, 2020, http://wordpress.wid.world/document/simplified-dina-for-australia-canada-and-new-zealand-world-inequality-lab-technical-note-2020-10/. ",http://wordpress.wid.world/document/simplified-dina-for-australia-canada-and-new-zealand-world-inequality-lab-technical-note-2020-10/
Canada,"Saez, Emmanuel, and Michael Veall. “The Evolution of High Incomes in Canada, 1920-2000.” National Bureau of Economic Research Working Paper Series, No. 9607, 2003, https://doi.org/10.3386/w9607. ",https://www.nber.org/papers/w9607
Canada,"Veall, Michael. “Top Income Shares in Canada: Recent Trends and Policy Implications.” Canadian Journal of Economics/Revue Canadienne D'économique, vol. 45, no. 4, 2012, pp. 1247–1272., https://doi.org/10.1111/j.1540-5982.2012.01744.x.",https://www.jstor.org/stable/23270172
Canada,"Wolfson, Michael. “Stasis amid Change Income Inequality in Canada 1965-1983.” Review of Income and Wealth, vol. 32, no. 4, 1986, pp. 337–369., https://doi.org/10.1111/j.1475-4991.1986.tb00545.x. ",http://onlinelibrary.wiley.com/doi/10.1111/j.1475-4991.1986.tb00545.x/full
Finland,"Atkinson, Anthony B. “Finland.” The Changing Distribution of Earnings in OECD Countries, Oxford University Press, Oxford, 2008.",https://oxford.universitypressscholarship.com/view/10.1093/acprof:oso/9780199532438.001.0001/acprof-9780199532438
Finland,"Blanchet, Thomas, et al. “How Unequal Is Europe? Evidence from Distributional National Accounts, 1980-2017.” WID.world, 2019, https://wid.world/document/bcg2019-full-paper/. ",https://wid.world/document/bcg2019-full-paper/
Finland,"Morgan, Marc, and Theresa Neef. “2020 DINA Update for Europe.” WID.world, 2020, https://wid.world/document/2020-dina-update-for-europe-world-inequality-lab-technical-note-2020-04/. ",https://wid.world/document/2020-dina-update-for-europe-world-inequality-lab-technical-note-2020-04/
Finland,"Eriksson, Tor, and Markus Jäntti. “The Distribution of Earnings in Finland 1971–1990.” European Economic Review, vol. 41, no. 9, 1997, pp. 1763–1779., https://doi.org/10.1016/s0014-2921(96)00044-x. ",https://www.sciencedirect.com/science/article/abs/pii/S001429219600044X?via%3Dihub
Finland,"Eriksson, Tor, and Markus Jäntti. ""Modelling the Distribution of Income and Socio-Economic Variables: Finland 1949-1992."" IARIW 50th Anniv. Conference, 1998.",https://pure.au.dk/portal/en/publications/modelling-the-distribution-of-income-and-socioeconomic-variables-finland-19491992(04800c20-2521-11da-af22-000ea68e967b).html
Finland,"Jäntti, Markus, et al. ""Trends in Top Income Shares in Finland."" Top Incomes: A Global Perspective, Oxford University Press, Oxford, 2010, pp. 371–447.",https://books.google.com/books/about/Top_Incomes.html?id=zLQUDAAAQBAJ
Finland,"Riihelä, Marja et al. ""On Recent Trends in Economic Poverty in Finland."" Working Papers, Tampere University, School of Management and Business, Economics, 2003, https://EconPapers.repec.org/RePEc:tam:wpaper:0323.",https://econpapers.repec.org/paper/tamwpaper/0323.htm
Finland,"Roine, Jesper, and Daniel Waldenström. “Long-Run Trends in the Distribution of Income and Wealth.” Handbook of Income Distribution, 2015, pp. 469–592., https://doi.org/10.1016/b978-0-444-59428-0.00008-4.",http://ftp.iza.org/dp8157.pdf
France,"Blanchet, Thomas, and Clarar Martínez-Toledano. “Distributional Wealth Accounts in Europe: Methodology.” WID.world, 2021, http://wordpress.wid.world/document/distributional-financial-accounts-in-europe-world-inequality-lab-technical-note-2021-12/. ",http://wordpress.wid.world/document/distributional-financial-accounts-in-europe-world-inequality-lab-technical-note-2021-12/
France,"Bozio, Antoine et al. “Predistribution vs. Redistribution: Evidence from France and the U.S.” WID.world, 2018, https://wid.world/document/predistribution-vs-redistribution-evidence-from-france-and-the-u-s/. ",https://wid.world/document/predistribution-vs-redistribution-evidence-from-france-and-the-u-s/
France,"Concialdi, Pierre. “Income distribution in France: The mid-1980s turning point.” Changing patterns in the distribution of economic welfare: An international perspective, edited by Peter Gottschalk et al, Cambridge University Press, Cambridge, 1997.",https://books.google.co.uk/books?hl=en&lr=&id=QK3yypiMK3EC&oi=fnd&pg=PA239&dq=Concialdi+P.+(1997)&ots=5-CgeU4nIA&sig=Ugaum5yEzuPC3w-3xPkq-ZJUaAs#v=onepage&q=Concialdi%20P.%20(1997)&f=false
France,"Garbinti, Bertrand, et al. “Income Inequality in France, 1900-2014: Evidence from Distributional National Accounts (DINA).” WID.world, 2018, https://wid.world/document/b-garbinti-j-goupille-and-t-piketty-inequality-dynamics-in-france-1900-2014-evidence-from-distributional-national-accounts-2016/.",https://wid.world/document/b-garbinti-j-goupille-and-t-piketty-inequality-dynamics-in-france-1900-2014-evidence-from-distributional-national-accounts-2016/
France,"Garbinti, Bertrand, et al. “Accounting for Wealth Inequality Dynamics: Methods, Estimates and Simulations for France.” WID.world, 2020, https://wid.world/document/accounting-for-wealth-inequality-dynamics-methods-estimates-and-simulations-for-france-wid-world-working-paper-2020-05/.",https://wid.world/document/accounting-for-wealth-inequality-dynamics-methods-estimates-and-simulations-for-france-wid-world-working-paper-2020-05/
France,Institut national de la statistique et des études économiques (France). Division Revenus et patrimoine des ménages. (1999). Revenus et patrimoine des ménages.,https://www.bnsp.insee.fr/ark:/12148/bc6p06xz84t.r=hourriez?rk=85837;2
France,"Piketty, Thomas, et al. “Wealth Concentration in a Developing Economy: Paris and France, 1807–1994.” American Economic Review, vol. 96, no. 1, 2006, pp. 236–256., https://doi.org/10.1257/000282806776157614. ",https://www.aeaweb.org/articles?id=10.1257/000282806776157614
France,"Postel-Vinay, Gilles, and Jean-Laurent Rosenthal. “Wealth Concentration in a Developing Economy: Paris and France, 1807–1994.” American Economic Review, vol. 96, no. 1, 2006, pp. 236–256., https://doi.org/10.1257/000282806776157614. ",http://piketty.pse.ens.fr/fichiers/public/PikettyPostel2006.pdf
France,"“World Income Inequality Database (WIID3.4).” UNU-WIDER, https://www.wider.unu.edu/project/wiid-world-income-inequality-database. ",https://www.wider.unu.edu/project/wiid-world-income-inequality-database’.
Germany,"Atkinson, Anthony B. “Germany.” The Changing Distribution of Earnings in OECD Countries, Oxford University Press, Oxford, 2008.",https://oxford.universitypressscholarship.com/view/10.1093/acprof:oso/9780199532438.001.0001/acprof-9780199532438
Germany,"Albers, Thilo, et al. “The Distribution of Wealth in Germany, 1895-2018.” ECONtribute, 2020. Policy Brief No. 001.",https://www.econtribute.de/RePEc/ajk/ajkpbs/ECONtribute_PB_001_2020.pdf
Germany,"Bartels, Charlotte. “Top Incomes in Germany, 1871-2013.” WID.world, 2017, https://wid.world/document/top-incomes-germany-1871-2013-wid-world-working-paper-2017-18/. ",https://wid.world/document/top-incomes-germany-1871-2013-wid-world-working-paper-2017-18/
Germany,"Becker, Irene. “Die Entwicklung der Einkommensverteilung und der Einkommensarmut in den alten Bundesländern von 1962 bis 1988.” Einkommensverteilung und Armut, edited by Irene Becker and Richard Hauser, Campus Verlag, Frankfurt, 1997. ",
Germany,"Blanchet, Thomas, et al. “Why Is Europe More Equal than the United States?” WID.world, 2020, https://wid.world/document/why-is-europe-more-equal-than-the-united-states-world-inequality-lab-wp-2020-19/.",https://wid.world/document/why-is-europe-more-equal-than-the-united-states-world-inequality-lab-wp-2020-19/
Germany,"DIW (Deutsche Institut für Wirtschaftsforschung). “Einkommensverteilung und –schichtung der privaten Haushalte in der Bundesrepublik Deutschland 1950 bis 1970.” Wochenbericht 25, Berlin, 1973.",
Germany,"Frick, Joachim R., et al. “Die Verteilung Der Vermögen in Deutschland.” Edition Sigma, 2010, https://doi.org/10.5771/9783845269412. ",https://www.nomos-elibrary.de/10.5771/9783845269412/die-verteilung-der-vermoegen-in-deutschland
Germany,"Hauser, Richard, and Irene Becker. “Einkommensverteilung Im Querschnitt Und Im Zeitverlauf 1973-1998.” Bundesministerium Für Arbeit Und Sozialordnung, Bonn, 2001.",
Germany,"SOEP Group. ""SOEPmonitor 2013-SOEPmonitor 1984-2013."" Berlin.",https://www.diw.de/en/diw_02.c.222727.en/soepmonitor.html#521248
Iceland,"Blanchet, Thomas, et al. “How Unequal Is Europe? Evidence from Distributional National Accounts, 1980-2017.” WID.world, 2019, https://wid.world/document/bcg2019-full-paper/. ",https://wid.world/document/bcg2019-full-paper/
Iceland,"Morgan, Marc, and Theresa Neef. “2020 DINA Update for Europe.” WID.world, 2020, https://wid.world/document/2020-dina-update-for-europe-world-inequality-lab-technical-note-2020-04/. ",https://wid.world/document/2020-dina-update-for-europe-world-inequality-lab-technical-note-2020-04/
Iceland,"Ólafsson, Stefán and Karl Sigurðsson. ""Poverty in Iceland.” Den nordiska fattindomens utveckling och struktur, edited by Annika Puide, Tema Nord, Copenhagen, 1996.",https://books.google.co.uk/books?id=IY48a0hL248C&pg=PA72&source=gbs_selected_pages&cad=2#v=onepage&q&f=false
Iceland,"Ólafsson, Stefán, and A. Kristjánsson. ""Þróun tekjuskiptingarinnar á Íslandi 1992–2010."" Stjórnmál & Stjórnsýsla 8.1, 2012, pp. 39-71.",https://skemman.is/handle/1946/12290
Iceland,"Ólafsson, Stefán, and A. Kristjánsson. ""Income Inequality in Boom and Bust: A Tale from Iceland’s Bubble Economy."" Income inequality: Economic disparities and the middle class in affluent countries, edited by in Janet Gornick and Markus Jäntti, Stanford University Press, Stanford, 2013.",https://www.degruyter.com/document/doi/10.1515/9780804786751-019/html
India,"Banarjee, Abhijit and Piketty, Thomas. ""Top Indian Incomes: 1922-2000."" Top Incomes: A Global Perspective, Oxford University Press, Oxford, 2010, pp. 1–39.",https://books.google.co.uk/books/about/Top_Incomes.html?id=zLQUDAAAQBAJ&redir_esc=y
India,"Bharti, Ntin Kumar. “Wealth Inequality, Class and Caste in India, 1961-2012.” WID.world, 2018, https://wid.world/document/n-k-bharti-wealth-inequality-class-and-caste-in-india-1961-2012/. ",https://wid.world/document/n-k-bharti-wealth-inequality-class-and-caste\-in-india-1961-2012/
India,"Chancel, Lucas, and Thomas Piketty. “Indian Income Inequality, 1922-2015: From British Raj to Billionaire Raj?” WID.world, 2017, https://wid.world/document/chancelpiketty2017widworld/. ",https://wid.world/document/chancelpiketty2017widworld/
India,"""Poverty Estimates for 2011-2012."" Government of India, Planning Commission, 2013.",http://www.indiaenvironmentportal.org.in/files/rep_pov.pdf
India,"Dipak Majumdar. ""Decreasing poverty and increasing inequality in India."" Tackling inequalities in Brazil, China, India and South Africa, 2010, pp. 157-207., https://doi.org/10.1787/9789264088368-4-en. ",http://www.oecd-ilibrary.org/social-issues-migration-health/tackling-inequalities-in-brazil-china-india-and-south-africa-2010_9789264088368-en
India,"More, Sachin, and Narendra Singh. ""Poverty in India: concepts, measurement and status."" 2014.",https://mpra.ub.uni-muenchen.de/62400/1/MPRA_paper_62400.pdf
India,"Rangarajan, Chakravarthy. ""Report of the Expert Group to Review the Methodology for Measurement of Poverty."" Government of India, Planning Commission, 2014, pp. 130-188.",http://planningcommission.nic.in/reports/genrep/pov_rep0707.pdf
India,"Vanneman, Reeve, and Amaresh Dubey. “Horizontal and vertical inequalities in India.” Income inequality: Economic disparities and the middle class in affluent countries, edited by Janet Gornick and Markus Jäntti, Stanford University Press, Stanford, 2013.",
Indonesia,"Asra, Abuzar. “Poverty and Inequality in Indonesia: Estimates, Decomposition and Key Issues.” Journal of the Asia Pacific Economy, vol. 5, no. 1, 2000, pp. 91–111., https://doi.org/10.1080/135478600360403. ",https://www.adb.org/sites/default/files/publication/28140/asra02.pdf
Indonesia,"Asra, Abuzar. “Inequality Trends in Indonesia, 1969–1981: A Re-Examination.” Bulletin of Indonesian Economic Studies, vol. 25, no. 2, 1989, pp. 100–110., https://doi.org/10.1080/00074918812331335589. ",https://www.tandfonline.com/doi/abs/10.1080/00074918812331335589
Indonesia,"Booth, Anne. “Counting the Poor in Indonesia.” Bulletin of Indonesian Economic Studies, vol. 29, no. 1, 1993, pp. 53–83., https://doi.org/10.1080/00074919312331336341.",http://wordpress.wid.world/document/2021-dina-regional-update-for-asia-world-inequality-lab-technical-note-2021-6/
Indonesia,"Krongkaew, Medhi and Ragayah Haji Mat Zin. “Income distribution and sustainable economic development in East Asia: A comparative analysis.” IDEAs Working Paper 2, 2006.",https://www.networkideas.org/feathm/oct2006/PDF/Medhi_Krongkaew_Ragayah_Haji.pdf
Indonesia,"Leigh, Andrew and Pierre van der Eng. ""Top incomes in Indonesia, 1920-2004.” Top Incomes: A Global Perspective, Oxford University Press, Oxford, 2010, pp. 171–219.",https://wid.world/document/leigh-andrew-and-van-der-eng-pierre-2010-top-incomes-in-indonesia-1920-2004-in-atkinson-a-b-and-piketty-t-editors-top-incomes-a-global-perspective-oxford-university-press-ch/
Indonesia,"Miranti, Riyana. “Poverty in Indonesia 1984–2002: The Impact of Growth and Changes in Inequality.” Bulletin of Indonesian Economic Studies, vol. 46, no. 1, 2010, pp. 79–97., https://doi.org/10.1080/00074911003642252.",https://www.tandfonline.com/doi/abs/10.1080/00074911003642252
Indonesia,"Sundrum, R. M. “Income Distribution, 1970–76.” Bulletin of Indonesian Economic Studies, vol. 15, no. 1, 1979, pp. 137–141., https://doi.org/10.1080/00074917912331333501. ",https://www.tandfonline.com/doi/abs/10.1080/00074917912331333501?needAccess=true
Italy,"Acciari, Paolo, et al. ""The Concentration of Personal Wealth in Italy 1995–2016."" University of Chicago Press, 2020, https://doi.org/10.31235/osf.io/2jznp.",https://www.nber.org/system/files/chapters/c14451/revisions/c14451.rev0.pdf
Italy,"Alvaredo, Facundo, and Elena Pisano. ""Top incomes in Italy 1974-2004."" Top Incomes: A Global Perspective, Oxford University Press, Oxford, 2010, pp. 625–663.",https://wid.world/document/alvaredo-facundo-and-pisano-elena-2010-top-incomes-in-italy-1974-2004-in-atkinson-a-b-and-piketty-t-editors-top-incomes-a-global-perspective-oxford-university-press-chapter/
Italy,"Amendola, Nicola, et al. ""Il costo della vita al Nord e al Sud d’Italia, dal dopoguerra a oggi. Stime di prima generazione."" Rivista di politica economica 99.2, 2009, pp. 3-34.",https://www.rivistapoliticaeconomica.it/il-costo-della-vita-al-nord-e-al-sud-ditalia-dal-dopoguerra-a-oggi-stime-di-prima-generazione/
Italy,"Atkinson, Anthony B. ""Italy."" The Changing Distribution of Earnings in OECD Countries, Oxford University Press, Oxford, 2008.",https://books.google.com/books/about/Top_Incomes.html?id=zLQUDAAAQBAJ
Italy,"Blanchet, Thomas, et al. “Why Is Europe More Equal than the United States?” WID.world, 2020, https://wid.world/document/why-is-europe-more-equal-than-the-united-states-world-inequality-lab-wp-2020-19/.",https://wid.world/document/why-is-europe-more-equal-than-the-united-states-world-inequality-lab-wp-2020-19/
Italy,"Brandolini, Andrea. ""The distribution of personal income in post-war Italy: source description, data quality, and the time pattern of income inequality."" Giornale degli economisti e Annali di economia, 1999, pp. 183-239.",https://www.jstor.org/stable/23248261
Italy,"Brandolini, Andrea. ""The Big Chill: Italian Family Budgets after the Great Recession."" Italian Politics 29.1, 2014, pp. 233-256.",https://www.berghahnjournals.com/view/journals/italian-politics/29/1/ip290114.xml
Italy,"Brandolini, Andrea, and Giovanni Vecchi. “The Well-Being of Italians: A Comparative Historical Approach.” SSRN Electronic Journal, 2011, https://doi.org/10.2139/ssrn.2239015. ",https://www.bancaditalia.it/pubblicazioni/quaderni-storia/2011-0019/QSEn_19.pdf
Italy,"Brandolini, Andrea, et al. ""Household wealth distribution in Italy in the 1990s."" International Perspectives on Household Wealth, 2006, pp. 225-245.",https://www.bancaditalia.it/pubblicazioni/temi-discussione/2004/2004-0530/tema_530.pdf
Italy,"Cannari, Luigi, and Giovanni D'Alessio. ""Education, Income and Wealth: Persistence across Generations in Italy."" Bank of Italy, 2018, https://doi.org/10.2139/ssrn.3431115. ",https://www.bancaditalia.it/pubblicazioni/qef/2018-0476/index.html?com.dotmarketing.htmlpage.language=1
Italy,"Giovanni Vecchi, ""In ricchezza e in povertà. Il benessere degli italiani dall’Unità a oggi."" Bologna, Il Mulino, 2011.",https://art.torvergata.it/handle/2108/20396
Italy,"Giovanni Vecchi. ""A History of Living Standards in Italy, 1861-2011."" Oxford University Press, Oxford, forthcoming.",
Japan,"Alvaredo, Facundo, et al. “Japan Estimates of Top Income Shares: Update up to 2010.” WID.world, 2012, https://wid.world/document/wid_methodology_notes_2012_7_japan/.",https://wid.world/document/wid_methodology_notes_2012_7_japan/
Japan,"Hayami, Yujiro. ""Development Economics: From the Poverty to the Wealth of Nations."" Clarendon Press, Oxford, 1997.",https://econpapers.repec.org/article/cupjechis/v_3a58_3ay_3a1998_3ai_3a04_3ap_3a1176-1178_5f02.htm
Japan,"Kitao, Sagiri, and Tomoaki Yamada. “Dimensions of Inequality in Japan: Distributions of Earnings, Income and Wealth between 1984 and 2014.” SSRN Electronic Journal, 2019, https://doi.org/10.2139/ssrn.3398648.",https://crawford.anu.edu.au/sites/default/files/publication/cama_crawford_anu_edu_au/2019-06/36_2019_kitao_yamada.pdf
Japan,"Lise, Jeremy, et al. “Wage, Income and Consumption Inequality in Japan, 1981–2008: From Boom to Lost Decades.” Review of Economic Dynamics, vol. 17, no. 4, 2014, pp. 582–612., https://doi.org/10.1016/j.red.2014.01.001. ",https://www.sciencedirect.com/science/article/abs/pii/S1094202514000027
Japan,"Minami, R. “Economic Development and Income Distribution in Japan: An Assessment of the Kuznets Hypothesis.” Cambridge Journal of Economics, vol. 22, no. 1, 1998, pp. 39–58., https://doi.org/10.1093/oxfordjournals.cje.a013704. ",https://academic.oup.com/cje/article-abstract/22/1/39/1711823?redirectedFrom=fulltext
Japan,"Moriguchi, Chiaki and Emmanuel Saez. ""The evolution of income concentration in Japan, 1886-2005: Evidence from income tax statistics."" Top Incomes: A Global Perspective, Oxford University Press, Oxford, 2010, pp. 76–170.",
Japan,"Tachibanaki, Toshiaki. “Inequality and Poverty in Japan.” The Japanese Economic Review, vol. 57, no. 1, 2006, pp. 1–27., https://doi.org/10.1111/j.1468-5876.2006.00355.x. ",https://www.pucsp.br/geap/textodocalendario/tachibanaki.pdf
Malaysia,"Anand, Sudhir. ""Inequality and Poverty in Malaysia: Measurement and Decomposition."" World Bank, Oxford University Press, Oxford, 1983.",https://documents1.worldbank.org/curated/en/262031468776799037/pdf/multi0page.pdf
Malaysia,"Atkinson, Anthony B. ""Top incomes in Malaysia 1947 to the present."" WID.world, 2013, https://wid.world/document/wid_methodology_notes_2013_5_malaysia/.",https://wid.world/document/wid_methodology_notes_2013_5_malaysia/
Malaysia,"Department of Statistics Malaysia. “Household Income and Basic Amenities Survey Report 2014”. Accessed 21 September 2021, from the eStatistik (Data Request) facility of the Department of Statistics Malaysia website.",https://www.dosm.gov.my/v1/index.php?r=column/cthemeByCat&cat=120&bul_id=aHhtTHVWNVYzTFBua2dSUlBRL1Rjdz09&menu_id=amVoWU54UTl0a21NWmdhMjFMMWcyZz09
Malaysia,"Department of Statistics Malaysia. “Household Income and Basic Amenities Survey Report 2019”. Accessed 21 September 2021, from the eStatistik (Data Request) facility of the Department of Statistics Malaysia website.",https://www.dosm.gov.my/v1/index.php?r=column/cthemeByCat&cat=120&bul_id=TU00TmRhQ1N5TUxHVWN0T2VjbXJYZz09&menu_id=amVoWU54UTl0a21NWmdhMjFMMWcyZz09
Malaysia,"Ikemoto, Yukio. “Income Distribution in Malaysia: 1957-80.” The Developing Economies, vol. 23, no. 4, 1985, pp. 347–367., https://doi.org/10.1111/j.1746-1049.1985.tb00065.x.",https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1746-1049.1985.tb00065.x
Malaysia,"Krongkaew, Medhi and Ragayah Haji Mat Zin. “Income distribution and sustainable economic development in East Asia: A comparative analysis.” IDEAs Working Paper 2, 2006.",https://www.networkideas.org/feathm/oct2006/PDF/Medhi_Krongkaew_Ragayah_Haji.pdf
