country,year,value,series_code,dimension,measure,welfare_concept,short_reference,long_reference,reference url,preferred_definition,description,source_codes_used,legend
Argentina,2004,46.6,S5,Overall Income Inequality,Gini coefficient,Equivalised household income (EPHC),SEDLAC (2020) Inequality,SEDLAC (CEDLAS and The World Bank) (2020) Inequality; worksheet 'gini2' (accessed 12/12/2021),https://www.cedlas.econo.unlp.edu.ar/wp/en/estadisticas/sedlac/estadisticas/#1496165297107-cedda6d3-6c7d,,,,
Argentina,2005,45.5,S5,Overall Income Inequality,Gini coefficient,Equivalised household income (EPHC),SEDLAC (2020) Inequality,SEDLAC (CEDLAS and The World Bank) (2020) Inequality; worksheet 'gini2' (accessed 12/12/2021),https://www.cedlas.econo.unlp.edu.ar/wp/en/estadisticas/sedlac/estadisticas/#1496165297107-cedda6d3-6c7d,,,,
Argentina,2006,44.4,S5,Overall Income Inequality,Gini coefficient,Equivalised household income (EPHC),SEDLAC (2020) Inequality,SEDLAC (CEDLAS and The World Bank) (2020) Inequality; worksheet 'gini2' (accessed 12/12/2021),https://www.cedlas.econo.unlp.edu.ar/wp/en/estadisticas/sedlac/estadisticas/#1496165297107-cedda6d3-6c7d,,,,
Argentina,2007,43.7,S5,Overall Income Inequality,Gini coefficient,Equivalised household income (EPHC),SEDLAC (2020) Inequality,SEDLAC (CEDLAS and The World Bank) (2020) Inequality; worksheet 'gini2' (accessed 12/12/2021),https://www.cedlas.econo.unlp.edu.ar/wp/en/estadisticas/sedlac/estadisticas/#1496165297107-cedda6d3-6c7d,,,,
Argentina,2008,42.5,S5,Overall Income Inequality,Gini coefficient,Equivalised household income (EPHC),SEDLAC (2020) Inequality,SEDLAC (CEDLAS and The World Bank) (2020) Inequality; worksheet 'gini2' (accessed 12/12/2021),https://www.cedlas.econo.unlp.edu.ar/wp/en/estadisticas/sedlac/estadisticas/#1496165297107-cedda6d3-6c7d,,,,
Argentina,2009,42.0,S5,Overall Income Inequality,Gini coefficient,Equivalised household income (EPHC),SEDLAC (2020) Inequality,SEDLAC (CEDLAS and The World Bank) (2020) Inequality; worksheet 'gini2' (accessed 12/12/2021),https://www.cedlas.econo.unlp.edu.ar/wp/en/estadisticas/sedlac/estadisticas/#1496165297107-cedda6d3-6c7d,,,,
Argentina,2010,41.8,S5,Overall Income Inequality,Gini coefficient,Equivalised household income (EPHC),SEDLAC (2020) Inequality,SEDLAC (CEDLAS and The World Bank) (2020) Inequality; worksheet 'gini2' (accessed 12/12/2021),https://www.cedlas.econo.unlp.edu.ar/wp/en/estadisticas/sedlac/estadisticas/#1496165297107-cedda6d3-6c7d,,,,
Argentina,2011,39.8,S5,Overall Income Inequality,Gini coefficient,Equivalised household income (EPHC),SEDLAC (2020) Inequality,SEDLAC (CEDLAS and The World Bank) (2020) Inequality; worksheet 'gini2' (accessed 12/12/2021),https://www.cedlas.econo.unlp.edu.ar/wp/en/estadisticas/sedlac/estadisticas/#1496165297107-cedda6d3-6c7d,,,,
Argentina,2012,38.6,S5,Overall Income Inequality,Gini coefficient,Equivalised household income (EPHC),SEDLAC (2020) Inequality,SEDLAC (CEDLAS and The World Bank) (2020) Inequality; worksheet 'gini2' (accessed 12/12/2021),https://www.cedlas.econo.unlp.edu.ar/wp/en/estadisticas/sedlac/estadisticas/#1496165297107-cedda6d3-6c7d,,,,
Argentina,2013,38.4,S5,Overall Income Inequality,Gini coefficient,Equivalised household income (EPHC),SEDLAC (2020) Inequality,SEDLAC (CEDLAS and The World Bank) (2020) Inequality; worksheet 'gini2' (accessed 12/12/2021),https://www.cedlas.econo.unlp.edu.ar/wp/en/estadisticas/sedlac/estadisticas/#1496165297107-cedda6d3-6c7d,,,,
Argentina,2014,38.3,S5,Overall Income Inequality,Gini coefficient,Equivalised household income (EPHC),SEDLAC (2020) Inequality,SEDLAC (CEDLAS and The World Bank) (2020) Inequality; worksheet 'gini2' (accessed 12/12/2021),https://www.cedlas.econo.unlp.edu.ar/wp/en/estadisticas/sedlac/estadisticas/#1496165297107-cedda6d3-6c7d,,,,
Argentina,2015,37.7,S5,Overall Income Inequality,Gini coefficient,Equivalised household income (EPHC),SEDLAC (2020) Inequality,SEDLAC (CEDLAS and The World Bank) (2020) Inequality; worksheet 'gini2' (accessed 12/12/2021),https://www.cedlas.econo.unlp.edu.ar/wp/en/estadisticas/sedlac/estadisticas/#1496165297107-cedda6d3-6c7d,,,,
Argentina,2016,39.1,S5,Overall Income Inequality,Gini coefficient,Equivalised household income (EPHC),SEDLAC (2020) Inequality,SEDLAC (CEDLAS and The World Bank) (2020) Inequality; worksheet 'gini2' (accessed 12/12/2021),https://www.cedlas.econo.unlp.edu.ar/wp/en/estadisticas/sedlac/estadisticas/#1496165297107-cedda6d3-6c7d,,,,
Argentina,2017,38.5,S5,Overall Income Inequality,Gini coefficient,Equivalised household income (EPHC),SEDLAC (2020) Inequality,SEDLAC (CEDLAS and The World Bank) (2020) Inequality; worksheet 'gini2' (accessed 12/12/2021),https://www.cedlas.econo.unlp.edu.ar/wp/en/estadisticas/sedlac/estadisticas/#1496165297107-cedda6d3-6c7d,,,,
Argentina,2018,38.7,S5,Overall Income Inequality,Gini coefficient,Equivalised household income (EPHC),SEDLAC (2020) Inequality,SEDLAC (CEDLAS and The World Bank) (2020) Inequality; worksheet 'gini2' (accessed 12/12/2021),https://www.cedlas.econo.unlp.edu.ar/wp/en/estadisticas/sedlac/estadisticas/#1496165297107-cedda6d3-6c7d,,,,
Argentina,2019,39.7,S5,Overall Income Inequality,Gini coefficient,Equivalised household income (EPHC),SEDLAC (2020) Inequality,SEDLAC (CEDLAS and The World Bank) (2020) Inequality; worksheet 'gini2' (accessed 12/12/2021),https://www.cedlas.econo.unlp.edu.ar/wp/en/estadisticas/sedlac/estadisticas/#1496165297107-cedda6d3-6c7d,,,,
Argentina,1932,18.8,S61,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (excluding capital gains),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1933,17.2,S61,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (excluding capital gains),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1934,18.1,S61,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (excluding capital gains),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1935,18.4,S61,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (excluding capital gains),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1936,20.4,S61,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (excluding capital gains),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1937,20.4,S61,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (excluding capital gains),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1938,20.5,S61,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (excluding capital gains),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1939,20.9,S61,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (excluding capital gains),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1940,20.1,S61,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (excluding capital gains),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1941,22.4,S61,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (excluding capital gains),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1942,23.8,S61,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (excluding capital gains),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1943,26.0,S61,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (excluding capital gains),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1944,24.8,S61,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (excluding capital gains),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1945,23.4,S61,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (excluding capital gains),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1946,22.6,S61,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (excluding capital gains),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1947,24.0,S61,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (excluding capital gains),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1948,23.2,S61,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (excluding capital gains),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1949,19.3,S61,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (excluding capital gains),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1950,19.8,S61,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (excluding capital gains),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1951,17.0,S61,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (excluding capital gains),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1952,16.0,S61,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (excluding capital gains),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1953,15.4,S61,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (excluding capital gains),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1954,16.5,S61,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (excluding capital gains),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1956,15.7,S61,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (excluding capital gains),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1958,14.2,S61,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (excluding capital gains),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1959,15.9,S61,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (excluding capital gains),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1961,14.7,S61,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (excluding capital gains),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1997,12.4,S61,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (excluding capital gains),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1998,12.6,S61,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (excluding capital gains),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1999,13.5,S61,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (excluding capital gains),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,2000,14.3,S61,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (excluding capital gains),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,2001,12.9,S61,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (excluding capital gains),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,2002,15.5,S61,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (excluding capital gains),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,2003,16.9,S61,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (excluding capital gains),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,2004,16.8,S61,Top Income Shares,Share of top 1%,Pre-tax fiscal income (individuals) (excluding capital gains),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1932,16.6,S62,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1933,15.2,S62,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1934,15.9,S62,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1935,16.3,S62,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1936,18.0,S62,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1937,18.0,S62,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1938,18.1,S62,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1939,18.4,S62,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1940,17.7,S62,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1941,19.8,S62,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1942,21.0,S62,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1943,22.9,S62,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1944,21.8,S62,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1945,20.6,S62,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1946,20.0,S62,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1947,21.2,S62,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1948,20.5,S62,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1949,17.1,S62,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1950,17.5,S62,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1951,15.0,S62,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1952,14.1,S62,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1953,13.5,S62,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1954,14.6,S62,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1956,13.8,S62,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1958,12.5,S62,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1959,14.1,S62,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1961,13.0,S62,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1980,12.6,S62,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1981,12.6,S62,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1982,12.6,S62,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1983,12.6,S62,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1984,12.6,S62,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1985,12.6,S62,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1986,12.6,S62,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1987,12.6,S62,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1988,12.6,S62,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
Argentina,1989,12.6,S62,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),WID,WID.world (accessed 12/12/2021),https://wid.world/country/argentina/,,,,
