year,value,series_code,dimension,measure,welfare_concept,short_reference,long_reference,reference url,preferred_definition,description,source_codes_used,legend
1972,26.92976,S3,Overall Income Inequality,Gini coefficient,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Inequality (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Gini coefficient - Equivalised disposable household income (IFS)
1973,25.85874,S3,Overall Income Inequality,Gini coefficient,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Inequality (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Gini coefficient - Equivalised disposable household income (IFS)
1974,25.11235,S3,Overall Income Inequality,Gini coefficient,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Inequality (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Gini coefficient - Equivalised disposable household income (IFS)
1975,24.29659,S3,Overall Income Inequality,Gini coefficient,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Inequality (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Gini coefficient - Equivalised disposable household income (IFS)
1976,24.26097,S3,Overall Income Inequality,Gini coefficient,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Inequality (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Gini coefficient - Equivalised disposable household income (IFS)
1977,23.95271,S3,Overall Income Inequality,Gini coefficient,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Inequality (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Gini coefficient - Equivalised disposable household income (IFS)
1978,23.95671,S3,Overall Income Inequality,Gini coefficient,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Inequality (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Gini coefficient - Equivalised disposable household income (IFS)
1979,25.30981,S3,Overall Income Inequality,Gini coefficient,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Inequality (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Gini coefficient - Equivalised disposable household income (IFS)
1980,25.74991,S3,Overall Income Inequality,Gini coefficient,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Inequality (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Gini coefficient - Equivalised disposable household income (IFS)
1981,26.32599,S3,Overall Income Inequality,Gini coefficient,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Inequality (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Gini coefficient - Equivalised disposable household income (IFS)
1982,26.11912,S3,Overall Income Inequality,Gini coefficient,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Inequality (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Gini coefficient - Equivalised disposable household income (IFS)
1983,26.78422,S3,Overall Income Inequality,Gini coefficient,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Inequality (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Gini coefficient - Equivalised disposable household income (IFS)
1984,26.99754,S3,Overall Income Inequality,Gini coefficient,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Inequality (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Gini coefficient - Equivalised disposable household income (IFS)
1985,28.20465,S3,Overall Income Inequality,Gini coefficient,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Inequality (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Gini coefficient - Equivalised disposable household income (IFS)
1986,29.09725,S3,Overall Income Inequality,Gini coefficient,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Inequality (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Gini coefficient - Equivalised disposable household income (IFS)
1987,30.50179,S3,Overall Income Inequality,Gini coefficient,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Inequality (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Gini coefficient - Equivalised disposable household income (IFS)
1988,32.25789,S3,Overall Income Inequality,Gini coefficient,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Inequality (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Gini coefficient - Equivalised disposable household income (IFS)
1989,32.68299,S3,Overall Income Inequality,Gini coefficient,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Inequality (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Gini coefficient - Equivalised disposable household income (IFS)
1990,33.91206,S3,Overall Income Inequality,Gini coefficient,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Inequality (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Gini coefficient - Equivalised disposable household income (IFS)
1991,34.08231,S3,Overall Income Inequality,Gini coefficient,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Inequality (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Gini coefficient - Equivalised disposable household income (IFS)
1992,34.03351,S3,Overall Income Inequality,Gini coefficient,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Inequality (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Gini coefficient - Equivalised disposable household income (IFS)
1993,33.9653,S3,Overall Income Inequality,Gini coefficient,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Inequality (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Gini coefficient - Equivalised disposable household income (IFS)
1994,33.24531,S3,Overall Income Inequality,Gini coefficient,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Inequality (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Gini coefficient - Equivalised disposable household income (IFS)
1995,33.29828,S3,Overall Income Inequality,Gini coefficient,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Inequality (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Gini coefficient - Equivalised disposable household income (IFS)
1996,33.29819,S3,Overall Income Inequality,Gini coefficient,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Inequality (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Gini coefficient - Equivalised disposable household income (IFS)
1997,34.01917,S3,Overall Income Inequality,Gini coefficient,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Inequality (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Gini coefficient - Equivalised disposable household income (IFS)
1998,34.80506,S3,Overall Income Inequality,Gini coefficient,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Inequality (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Gini coefficient - Equivalised disposable household income (IFS)
1999,34.57155,S3,Overall Income Inequality,Gini coefficient,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Inequality (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Gini coefficient - Equivalised disposable household income (IFS)
2000,35.25093,S3,Overall Income Inequality,Gini coefficient,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Inequality (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Gini coefficient - Equivalised disposable household income (IFS)
2001,34.83555,S3,Overall Income Inequality,Gini coefficient,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Inequality (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Gini coefficient - Equivalised disposable household income (IFS)
2002,34.35313,S3,Overall Income Inequality,Gini coefficient,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Inequality (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Gini coefficient - Equivalised disposable household income (IFS)
2003,33.94656,S3,Overall Income Inequality,Gini coefficient,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Inequality (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Gini coefficient - Equivalised disposable household income (IFS)
2004,34.04947,S3,Overall Income Inequality,Gini coefficient,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Inequality (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Gini coefficient - Equivalised disposable household income (IFS)
2005,34.50695,S3,Overall Income Inequality,Gini coefficient,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Inequality (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Gini coefficient - Equivalised disposable household income (IFS)
2006,35.18023,S3,Overall Income Inequality,Gini coefficient,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Inequality (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Gini coefficient - Equivalised disposable household income (IFS)
2007,35.8022,S3,Overall Income Inequality,Gini coefficient,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Inequality (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Gini coefficient - Equivalised disposable household income (IFS)
2008,35.6223,S3,Overall Income Inequality,Gini coefficient,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Inequality (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Gini coefficient - Equivalised disposable household income (IFS)
2009,35.74156,S3,Overall Income Inequality,Gini coefficient,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Inequality (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Gini coefficient - Equivalised disposable household income (IFS)
2010,33.71587,S3,Overall Income Inequality,Gini coefficient,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Inequality (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Gini coefficient - Equivalised disposable household income (IFS)
2011,34.00962,S3,Overall Income Inequality,Gini coefficient,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Inequality (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Gini coefficient - Equivalised disposable household income (IFS)
2012,33.63875,S3,Overall Income Inequality,Gini coefficient,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Inequality (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Gini coefficient - Equivalised disposable household income (IFS)
2013,34.25986,S3,Overall Income Inequality,Gini coefficient,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Inequality (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Gini coefficient - Equivalised disposable household income (IFS)
2014,33.94323,S3,Overall Income Inequality,Gini coefficient,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Inequality (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Gini coefficient - Equivalised disposable household income (IFS)
2015,34.68564,S3,Overall Income Inequality,Gini coefficient,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Inequality (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Gini coefficient - Equivalised disposable household income (IFS)
2016,33.65,S3,Overall Income Inequality,Gini coefficient,Equivalised disposable household income,IFS,Institute for Fiscal Studies; Inequality (accessed 21/12/2021),https://ifs.org.uk/tools_and_resources/incomes_in_uk,,,,Gini coefficient - Equivalised disposable household income (IFS)
